signal_date,score,target,quantile,mean_forward_return,median_forward_return,n
2007-07-31,composite_score,excess_forward_1m_return,1,-0.0010508508638134907,-0.0091739235501698,25
2007-07-31,composite_score,excess_forward_1m_return,2,0.0035062598637750596,0.0057491888400220004,24
2007-07-31,composite_score,excess_forward_1m_return,3,-0.020040600629135503,-0.0201122128970554,24
2007-07-31,composite_score,excess_forward_1m_return,4,-0.006040923494705083,-0.00182793034007585,24
2007-07-31,composite_score,excess_forward_1m_return,5,0.023669900576537912,0.0180998934909188,24
2007-08-31,composite_score,excess_forward_1m_return,1,-0.020149776204071882,-0.0243909572200163,25
2007-08-31,composite_score,excess_forward_1m_return,2,-0.01394732854091369,-0.02572033182232695,24
2007-08-31,composite_score,excess_forward_1m_return,3,-0.0028361342368894878,-0.0131539571407766,24
2007-08-31,composite_score,excess_forward_1m_return,4,-0.00018388870162006307,-0.010373283616533351,24
2007-08-31,composite_score,excess_forward_1m_return,5,0.03795670169199817,-0.00210827612706925,24
2007-09-28,composite_score,excess_forward_1m_return,1,-0.05937124748084654,-0.0739115541004986,25
2007-09-28,composite_score,excess_forward_1m_return,2,-0.04365072723929181,-0.08206438266899665,24
2007-09-28,composite_score,excess_forward_1m_return,3,0.03678193244102164,0.016032768990172,25
2007-09-28,composite_score,excess_forward_1m_return,4,0.008287289141904111,-0.005897243749166251,24
2007-09-28,composite_score,excess_forward_1m_return,5,0.05653821561331716,0.0429140695987353,25
2007-10-31,composite_score,excess_forward_1m_return,1,0.0503831944769124,0.0409068830711249,25
2007-10-31,composite_score,excess_forward_1m_return,2,0.01051751007881689,0.0069242490417316,24
2007-10-31,composite_score,excess_forward_1m_return,3,0.00847631168789031,-0.0189453161756596,25
2007-10-31,composite_score,excess_forward_1m_return,4,-0.0064749838389904085,-0.0193460262563065,24
2007-10-31,composite_score,excess_forward_1m_return,5,-0.062740331355036,-0.0710001316771074,25
2007-11-30,composite_score,excess_forward_1m_return,1,0.007335138787976907,-0.0021124558513119,25
2007-11-30,composite_score,excess_forward_1m_return,2,0.037706246222023926,0.03982880986104695,24
2007-11-30,composite_score,excess_forward_1m_return,3,0.032026782550025494,0.0080420942840543,25
2007-11-30,composite_score,excess_forward_1m_return,4,-0.01053211885051075,0.008552066515338099,24
2007-11-30,composite_score,excess_forward_1m_return,5,-0.06544908361465508,-0.0815828045642423,25
2007-12-28,composite_score,excess_forward_1m_return,1,-0.004689061994943891,0.0060181966800314,25
2007-12-28,composite_score,excess_forward_1m_return,2,0.023340285368194005,0.0255648626633228,25
2007-12-28,composite_score,excess_forward_1m_return,3,-0.007504167779756973,0.0241757019138888,24
2007-12-28,composite_score,excess_forward_1m_return,4,0.02041156075297247,0.0028071698691149,25
2007-12-28,composite_score,excess_forward_1m_return,5,-0.031858783057655854,-0.0230601757526488,25
2008-01-31,composite_score,excess_forward_1m_return,1,-0.01903844017613089,-0.0462990471961404,25
2008-01-31,composite_score,excess_forward_1m_return,2,-0.027769422615484554,-0.0625644951879014,25
2008-01-31,composite_score,excess_forward_1m_return,3,-0.018829320059534863,-0.0438111018708204,24
2008-01-31,composite_score,excess_forward_1m_return,4,-0.018671200544263186,-0.0507245461711499,25
2008-01-31,composite_score,excess_forward_1m_return,5,0.08355521059303213,0.0593682203897318,25
2008-02-29,composite_score,excess_forward_1m_return,1,0.0003905351213079511,-0.0266424855642071,25
2008-02-29,composite_score,excess_forward_1m_return,2,0.004905847111629174,-0.0118073002706683,25
2008-02-29,composite_score,excess_forward_1m_return,3,-0.0021871477206535255,-0.0027480176555465,24
2008-02-29,composite_score,excess_forward_1m_return,4,-0.021194761689024025,-0.0104977155547429,25
2008-02-29,composite_score,excess_forward_1m_return,5,0.017998041267914294,0.0006796057904556,25
2008-03-31,composite_score,excess_forward_1m_return,1,0.03749901156759591,0.0283597546477847,25
